bcsid,bd9totce,bd9hnvq,bd9ms,bd9partp,b9groa,b9cns8,b9ten,b9cmsex,hinvq00,wm1,wm2,wm3,wm4,wm5,c1,c2,c3,c4,b11sex,bd11nochh,bd1psoc,bd1mage,bd1agefb,bd1cntry,bd1regn,a0166,bd3read,bd3maths,bd3psoc,bd3inc,bd4read,bd4psoc,bd4mal,mathscore,y,d,sex_raw,female,soc_birth,soc_10,soc_16,mage,mage_fb,parity,birth_order,read_10_z,math_10_z,cog_10,vocab_16_z,math_16_z,cog_16,inc_10,malaise_16,m_trad_gender,m_profamily,m_earnings,m_log_earn,m_partner
B17232F,2,5,8,3,170000,2,2,1,5,4,5,3,2,5,4,2,4,2,1,0,8,24,22,1,5,1,NA,46,6,0,NA,NA,-2,NA,2,4,1,0,-2,0,NA,24,22,1,2,NA,0.0487955474213855,NA,NA,NA,NA,0,-2,4,4,170000,12.04355959836804,0
B17234H,0,4,8,NA,42500,3,2,1,2,4,5,2,2,5,4,1,2,4,NA,NA,2,17,17,1,5,0,NA,34,NA,NA,NA,NA,-2,NA,0,2,1,0,4,NA,NA,17,17,0,1,NA,-0.9633256714909757,NA,NA,NA,NA,NA,-2,3.6666666666666665,3,42500,10.657282884047461,NA
B17236K,1,2,2,1,45331,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,4,28,18,1,5,2,-0.12,45,2,3,NA,NA,NA,NA,1,2,1,0,2,4,NA,28,18,2,3,-0.26835554267095824,-0.03554788748797794,-0.15195171507946809,NA,NA,NA,3,NA,NA,NA,45331,10.72176846385284,1
B17237L,2,4,2,1,25000,3,2,2,4,4,4,2,5,5,2,2,2,2,2,2,3,29,22,1,5,2,NA,44,3,3,NA,3,6,NA,2,4,2,1,3,3,3,29,22,2,3,NA,-0.11989132239734138,NA,NA,NA,NA,3,6,3.3333333333333335,2,25000,10.12667110305036,1
B17238M,2,2,2,1,NA,4,2,1,2,5,4,4,4,1,1,2,3,2,NA,NA,4,26,26,3,10,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,0,2,NA,NA,26,26,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4.333333333333333,2,NA,NA,1
B17239N,3,4,3,NA,60000,2,2,2,4,4,2,3,3,4,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,14,42,3,4,2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3761288356724144,NA,2,14,3,2.5,60000,11.002116507732017,NA
B17240F,2,4,2,1,49000,9,2,1,4,2,4,3,2,3,3,3,2,2,1,1,5,23,21,1,5,1,1.31,60,3,3,NA,4,-2,NA,2,4,1,0,1,3,2,23,21,1,2,1.218737745303998,1.2296036361524736,1.224170690728236,NA,NA,NA,3,-2,3,2.5,49000,10.799595985047786,1
B17241G,3,4,2,1,36000,2,2,1,4,4,4,2,4,4,4,2,4,4,1,3,8,31,29,2,9,1,0.44,47,6,0,0.57,6,9,28,3,4,1,0,-2,0,0,31,29,1,2,0.31400266800454907,0.13313898233074895,0.223570825167649,0.5264956983584673,-0.8489153203355903,-0.16120981098856146,0,9,3.3333333333333335,4,36000,10.491301994830229,1
B17242H,2,0,2,1,27800,7,2,1,0,3,3,3,3,3,2,2,3,3,NA,NA,5,27,26,1,4,1,1.24,52,NA,NA,0.25,3,20,NA,2,0,1,0,1,NA,3,27,26,1,2,1.1459429689695595,0.5548561568775662,0.8503995629235628,0.19800002371241296,NA,NA,NA,20,3,2.5,27800,10.2328272702548,1
B17245L,1,4,8,3,NA,4,1,1,4,3,4,2,3,4,4,2,4,3,NA,NA,4,21,21,1,1,0,1,59,3,3,NA,3,-2,NA,1,4,1,0,2,3,3,21,21,0,1,0.8963608786800562,1.1452602012431101,1.0208105399615832,NA,NA,NA,3,-2,3,4,NA,NA,0
B17247N,1,0,8,3,450,5,4,2,0,4,4,3,4,4,4,2,3,3,2,0,4,27,19,1,5,3,NA,NA,1,4,NA,NA,-2,NA,1,0,2,1,2,5,NA,27,19,3,4,NA,NA,NA,NA,NA,NA,4,-2,3.6666666666666665,3.5,450,6.111467339502679,0
